image,split,planset,project,area_type,width,height,boxes,is_negative
images/461_1249fd34_p2_a_p2_b0.png,train,461_1249fd34,461,door_area,9430,1157,13,0
images/461_1249fd34_p2_a_p2_b1.png,train,461_1249fd34,461,garage_area,4339,1195,3,0
images/461_1249fd34_p2_a_p2_b2.png,train,461_1249fd34,461,window_area,4300,1101,4,0
images/461_1249fd34_p3_a_p3_b0.png,train,461_1249fd34,461,door_area,9366,1646,11,0
images/461_1249fd34_p3_a_p3_b1.png,train,461_1249fd34,461,window_area,3779,1565,3,0
images/486_a1aea1a4_p18_a_p18_b0.png,train,486_a1aea1a4,486,window_area,6118,1023,11,0
images/486_a1aea1a4_p18_a_p18_b1.png,train,486_a1aea1a4,486,exclude,2805,2672,0,1
images/486_a1aea1a4_p18_a_p18_b3.png,train,486_a1aea1a4,486,exclude,2904,2832,0,1
images/486_a1aea1a4_p18_a_p18_b4.png,train,486_a1aea1a4,486,door_area,4900,1937,12,0
images/486_a1aea1a4_p63_a_p63_b1.png,train,486_a1aea1a4,486,exclude,2644,3600,0,1
images/486_a1aea1a4_p63_a_p63_b2.png,train,486_a1aea1a4,486,window_area,6152,3057,10,0
images/486_a1aea1a4_p63_a_p63_b4.png,train,486_a1aea1a4,486,door_area,5584,2457,11,0
images/524_82ca7fae_p28_a_p28_b0.png,train,524_82ca7fae,524,exclude,5328,1352,0,1
images/524_82ca7fae_p28_a_p28_b2.png,train,524_82ca7fae,524,exclude,3680,2976,0,1
images/524_82ca7fae_p28_a_hmsycj753.png,train,524_82ca7fae,524,door_area,3587,1187,6,0
images/538_f28abb70_p9_a_p9_b0.png,train,538_f28abb70,538,door_area,6688,1076,7,0
images/538_f28abb70_p9_a_p9_b1.png,train,538_f28abb70,538,window_area,5810,1083,6,0
images/538_f28abb70_p9_a_hmsyj1gj0.png,train,538_f28abb70,538,door_area,3811,966,3,0
images/538_f28abb70_p10_a_p10_b0.png,train,538_f28abb70,538,door_area,4111,1092,4,0
images/538_f28abb70_p10_a_p10_b1.png,train,538_f28abb70,538,door_area,8044,1135,8,0
images/538_f28abb70_p10_a_p10_b2.png,train,538_f28abb70,538,window_area,8025,1131,9,0
images/538_f28abb70_p11_a_p11_b0.png,train,538_f28abb70,538,window_area,8028,3224,14,0
images/538_f28abb70_p11_a_p11_b1.png,train,538_f28abb70,538,door_area,8025,1216,8,0
images/543_fc78c1f7_p3_a_p3_b0.png,val,543_fc78c1f7,543,door_area,8009,3008,11,0
images/543_fc78c1f7_p3_a_p3_b1.png,val,543_fc78c1f7,543,window_area,4959,1069,4,0
images/543_fc78c1f7_p4_a_p4_b0.png,val,543_fc78c1f7,543,door_area,6784,1099,7,0
images/543_fc78c1f7_p4_a_p4_b1.png,val,543_fc78c1f7,543,door_area,8056,4349,21,0
images/543_fc78c1f7_p5_a_p5_b0.png,val,543_fc78c1f7,543,window_area,5833,1666,7,0
images/543_fc78c1f7_p5_a_p5_b1.png,val,543_fc78c1f7,543,door_area,1480,1220,3,0
images/5449_9211017b_p3_a_p3_b0.png,train,5449_9211017b,5449,door_area,2861,829,6,0
images/5449_9211017b_p4_a_p4_b0.png,train,5449_9211017b,5449,window_area,3190,973,9,0
images/5449_9211017b_p4_a_hmsyjxbq6.png,train,5449_9211017b,5449,window_area,5564,3207,11,0
images/5449_9211017b_p4_a_p4_b1.png,train,5449_9211017b,5449,door_area,1336,1672,4,0
images/5449_9211017b_p4_a_p4_b3.png,train,5449_9211017b,5449,door_area,1280,1664,3,0
images/565_3bee76f5_p79_a_p79_b0.png,train,565_3bee76f5,565,window_area,3914,3082,10,0
images/565_3bee76f5_p83_a_hmsykynsq.png,train,565_3bee76f5,565,window_area,5159,2090,15,0
images/570_13cb4fd7_p12_a_p12_b0.png,train,570_13cb4fd7,570,exclude,6448,3000,0,1
images/570_13cb4fd7_p12_a_p12_b1.png,train,570_13cb4fd7,570,door_area,3928,1857,11,0
images/570_13cb4fd7_p12_a_p12_b3.png,train,570_13cb4fd7,570,exclude,3438,4368,0,1
images/585_6c8ee4d3_p11_a_p11_b0.png,train,585_6c8ee4d3,585,door_area,3168,861,6,0
images/585_6c8ee4d3_p11_a_hmsyl4q9g.png,train,585_6c8ee4d3,585,window_area,1271,688,2,0
images/590_4a15ed64_p25_a_p25_b0.png,train,590_4a15ed64,590,door_area,3563,849,8,0
images/590_4a15ed64_p25_a_p25_b1.png,train,590_4a15ed64,590,window_area,5351,1444,6,0
images/590_4a15ed64_p25_a_hmsynino6.png,train,590_4a15ed64,590,door_area,5013,1661,5,0
images/593_e01c7d13_p94_a_p94_b3.png,train,593_e01c7d13,593,door_area,1207,2111,9,0
images/593_e01c7d13_p98_a_p98_b0.png,train,593_e01c7d13,593,window_area,7933,6292,35,0
images/603_9434dcba_p6_a_p6_b0.png,train,603_9434dcba,603,door_area,6169,1020,8,0
images/603_9434dcba_p6_a_p6_b1.png,train,603_9434dcba,603,window_area,4376,1077,5,0
images/603_9434dcba_p7_a_p7_b0.png,train,603_9434dcba,603,door_area,6392,6048,15,0
images/603_9434dcba_p8_a_p8_b0.png,train,603_9434dcba,603,window_area,7387,1605,8,0
images/603_9434dcba_p8_a_p8_b1.png,train,603_9434dcba,603,door_area,1375,1228,2,0
images/603_9434dcba_p8_a_hmszqdn6x.png,train,603_9434dcba,603,garage_area,1375,1292,1,0
images/632_c4340fa2_p35_a_p35_b0.png,train,632_c4340fa2,632,exclude,2976,2400,0,1
images/632_c4340fa2_p35_a_hmsyo8n2v.png,train,632_c4340fa2,632,door_area,5089,4422,14,0
images/632_c4340fa2_p36_a_p36_b1.png,train,632_c4340fa2,632,window_area,5038,1472,5,0
images/652_310a825e_p17_a_p17_b1.png,train,652_310a825e,652,door_area,3087,1873,5,0
images/652_310a825e_p17_a_hmszo39xd.png,train,652_310a825e,652,window_area,2076,1146,2,0
images/658_38ee4786_p25_a_p25_b2.png,val,658_38ee4786,658,window_area,4441,1265,4,0
images/658_38ee4786_p25_a_p25_b3.png,val,658_38ee4786,658,window_area,2744,1016,9,0
images/658_38ee4786_p25_a_p25_b4.png,val,658_38ee4786,658,door_area,1094,851,5,0
images/658_38ee4786_p25_a_hmszqhb4p.png,val,658_38ee4786,658,window_area,6851,1191,3,0
images/658_38ee4786_p25_a_hmszqhfe9.png,val,658_38ee4786,658,door_area,6252,1377,7,0
images/658_38ee4786_p25_a_hmszqihze.png,val,658_38ee4786,658,door_area,2277,1459,2,0
images/658_38ee4786_p25_a_p25_b7.png,val,658_38ee4786,658,door_area,3544,1440,4,0
images/699_b670e56b_p85_a_p85_b0.png,train,699_b670e56b,699,window_area,9170,3273,30,0
images/699_b670e56b_p125_a_p125_b0.png,train,699_b670e56b,699,exclude,3816,3276,0,1
images/699_b670e56b_p125_a_p125_b1.png,train,699_b670e56b,699,exclude,2632,4936,0,1
images/699_b670e56b_p125_a_hmszsfha2.png,train,699_b670e56b,699,window_area,3762,1119,9,0
images/699_b670e56b_p125_a_hmszsftqp.png,train,699_b670e56b,699,window_area,3430,6442,20,0
images/699_b670e56b_p125_a_p125_b2.png,train,699_b670e56b,699,window_area,3593,2849,11,0
images/702_32e25888_p90_a_p90_b0.png,train,702_32e25888,702,exclude,3944,2976,0,1
images/702_32e25888_p90_a_p90_b2.png,train,702_32e25888,702,exclude,2649,3146,0,1
images/702_32e25888_p90_a_hmszsbva5.png,train,702_32e25888,702,window_area,6398,2026,6,0
images/702_32e25888_p90_a_hmszscepo.png,train,702_32e25888,702,door_area,3993,1621,4,0
images/702_32e25888_p90_a_hmszschzg.png,train,702_32e25888,702,door_area,5362,1896,6,0
images/702_32e25888_p90_a_hmszsd8yb.png,train,702_32e25888,702,garage_area,2811,1515,1,0
images/707_77448eaf_p197_a_p197_b0.png,train,707_77448eaf,707,exclude,3088,6104,0,1
images/707_77448eaf_p197_a_p197_b1.png,train,707_77448eaf,707,door_area,10413,2873,18,0
images/707_77448eaf_p198_a_p198_b0.png,train,707_77448eaf,707,window_area,7807,1608,10,0
images/716_1426c195_p8_a_hmszs8aut.png,train,716_1426c195,716,door_area,3519,1035,4,0
images/716_1426c195_p10_a_hmt16xi25.png,train,716_1426c195,716,door_area,3651,1326,3,0
images/716_1426c195_p14_a_p14_b0.png,train,716_1426c195,716,window_area,4786,1744,7,0
images/733_871e0c28_p87_a_p87_b0.png,val,733_871e0c28,733,door_area,9413,2693,19,0
images/733_871e0c28_p87_a_hmszs7d3l.png,val,733_871e0c28,733,window_area,9216,1718,14,0
images/738_f66be1e1_p28_a_p28_b0.png,train,738_f66be1e1,738,door_area,3495,1276,6,0
images/739_733399c1_p29_a_p29_b0.png,val,739_733399c1,739,door_area,3131,1169,6,0
images/739_733399c1_p29_a_p29_b2.png,val,739_733399c1,739,window_area,1550,851,2,0
images/739_733399c1_p29_a_p29_b3.png,val,739_733399c1,739,exclude,2416,3880,0,1
images/739_733399c1_p61_a_p61_b0.png,val,739_733399c1,739,door_area,2301,1098,3,0
images/739_733399c1_p61_a_hmszsp0jm.png,val,739_733399c1,739,window_area,7538,3367,21,0
images/739_733399c1_p61_a_p61_b1.png,val,739_733399c1,739,exclude,2256,3056,0,1
images/739_733399c1_p61_a_p61_b3.png,val,739_733399c1,739,door_area,2728,1992,3,0
images/739_733399c1_p102_a_p102_b1.png,val,739_733399c1,739,door_area,1605,2080,7,0
images/739_733399c1_p102_a_p102_b3.png,val,739_733399c1,739,door_area,1687,1168,4,0
images/739_733399c1_p102_a_hmszqrbk3.png,val,739_733399c1,739,window_area,1382,1021,2,0
images/739_733399c1_p117_a_p117_b0.png,val,739_733399c1,739,door_area,2992,1160,6,0
images/739_733399c1_p117_a_hmszqpeb4.png,val,739_733399c1,739,window_area,1389,1202,2,0
images/739_733399c1_p117_a_hmszqpkw8.png,val,739_733399c1,739,door_area,1632,1243,4,0
images/744_2273d2d4_p8_a_p8_b0.png,val,744_2273d2d4,744,door_area,4015,2353,7,0
images/744_2273d2d4_p8_a_hmszqnz92.png,val,744_2273d2d4,744,window_area,3766,1143,5,0
images/744_2273d2d4_p8_a_p8_b1.png,val,744_2273d2d4,744,door_area,3680,1635,3,0
